"ME_NUMERO","ME_CTR","ME_PLACA","ME_D_SAIDA","ME_K_SAIDA","ME_H_SAIDA","ME_T_SAIDA","ME_D_RET","ME_K_RET","ME_H_RET","ME_T_RET","ME_D_PREV","ME_H_PREV","ME_QUANT","ME_TIPOKM","ME_VALUNIT","ME_FRANQ","ME_KMEXCED","ME_HREXCED","ME_BONUS","ME_SEGURO","ME_TAXASER","ME_V_ANTEC","ME_CAUCAO","ME_PROTEC","ME_TAXAENT","ME_VAL_MOT","ME_EXT_MOT","ME_LIMITE","ME_AVARIAS","ME_PERDAT","ME_DM","ME_DP","ME_DPP","ME_LCE","ME_SUBST","ME_HORAS_MIN","ME_RETIRAR","ME_LOJA","ME_MOTOAD","ME_TIPOCTR","ME_DESCONTO","ME_DIAEXCED","ME_FRANQUIA_TER","ME_L_SAIDA","ME_L_PREV","ME_SAIUTMP","ME_CONDUTOR","CONTRATO_ID","DEVOLVIDO_AVARIAS","OBSERVACAO","OPERADOR","CODIGOGRUPO","ME_UPGRADE","ID_SUBSTITUICAO","ME_VALORPREVISTO","LOCACAO_ID","TIPOLOCACAO","QTD_HORAS_EXC","ME_TARIFA","OP_RECEBEU_VEICULO","CUPOM_PROMOCIONAL","STATUS","ME_RESERVA","MOVIMENTO_ID","MEDICAO","QTD_DIAS","ME_SUBSTITUTO","VE_TITULAR","ME_VALOR_AQUISICAO","VALOR_LOCACAO","VALOR_AQUISICAO","FRANQUIA_LOCACAO","LOCALIZACAO_ID","TIPO_DESCONTO","ME_SERVICOADICIONAL","CODIGONOTAFISCAL","SAIDA","RETORNO","PREVISAO","VALOR_REAJUSTADO","INDICE_REAJUSTE","INDICE","KM_RODADO"
21,"00002125001",TTH3B10,2025-03-25,3000,09:00:00,"0  ",,,,,2027-07-15,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,21,N,,,,0.0,,54730.0,,,0.0,,,,A,,,"001",842,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-07-15 09:00:00.000,,,,0
22,"00002225001",SRZ8B84,2025-03-25,10000,09:00:00,"0  ",,,,,2027-03-24,09:00:00,104,L,400.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,23,N,,,,0.0,,41657.14,,,0.0,,,,A,,,"001",729,,S,,400.0,0.0,,,P,0.0,,2025-03-25 09:00:00.000,,2027-03-24 09:00:00.000,,,,0
23,"00002325001",SRZ8B72,2025-03-25,10000,09:00:00,"0  ",2025-09-19,60000,10:10:00,"0  ",2026-09-30,09:00:00,79,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,24,N,,,,0.0,,36010.0,,,0.0,,,,E,,,"001",178,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-09-19 10:10:00.000,2026-09-30 09:00:00.000,,,,50000
24,"00002425001",TUD0E95,2025-03-25,17869,09:00:00,"0  ",2025-09-03,47379,13:54:00,"0  ",2027-05-31,09:00:00,113,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,25,N,,,,0.0,,51805.0,,,0.0,,,,E,,,"001",162,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-09-03 13:54:00.000,2027-05-31 09:00:00.000,,,,29510
25,"00002525001",TTE4A62,2025-03-25,9411,09:00:00,"0  ",,,,,2027-06-18,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,26,N,,,,0.0,,52975.0,,,0.0,,,,A,,,"001",815,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-06-18 09:00:00.000,,,,0
26,"00002625001",TTM0E86,2025-03-25,4035,09:00:00,"0  ",2025-06-05,9124,21:00:00,"0  ",2027-06-07,09:00:00,114,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,3,,N,1,0.0,AS,0.0,,,0,0,,,27,N,,,,0.0,,52260.0,,,0.0,,,,E,,,"001",72,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-06-05 21:00:00.000,2027-06-07 09:00:00.000,,,,5089
27,"00002725001",TTH2A01,2025-03-25,4400,09:00:00,"0  ",2025-05-06,8338,09:00:00,"0  ",2027-06-21,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,28,N,,,,0.0,,53170.0,,,0.0,,,,E,,,"001",42,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-05-06 09:00:00.000,2027-06-21 09:00:00.000,,,,3938
28,"00002825001",TUP0H36,2025-03-25,61,09:00:00,"0  ",,,,,2027-07-19,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,29,N,,,,0.0,,54990.0,,,0.0,,,,A,,,"001",846,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-07-19 09:00:00.000,,,,0
29,"00002925001",TUV0I31,2025-03-26,10663,09:00:00,"0  ",2026-03-09,32308,11:32:00,"0  ",2027-07-26,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,30,N,,,,0.0,,55380.0,,,0.0,,,,E,,,"001",348,,S,,455.0,0.0,,,,,,2025-03-26 09:00:00.000,2026-03-09 11:32:00.000,2027-07-26 09:00:00.000,,,,21645
30,"00003025001",TUW0I31,2025-03-26,1000,09:00:00,"0  ",2025-09-08,17143,15:53:00,"0  ",2027-07-26,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,31,N,,,,0.0,,55380.0,,,0.0,,,,E,,,"001",166,,S,,455.0,0.0,,,,,,2025-03-26 09:00:00.000,2025-09-08 15:53:00.000,2027-07-26 09:00:00.000,,,,16143
